Browser,Event,Object Parameters,Chart,Status
Chrome,beforeinitialize,"('height = ', u'600')",heatmap,PASS
Chrome,beforeinitialize,"('renderAt = ', u'chart-container')",heatmap,PASS
Chrome,beforeinitialize,"('type = ', u'heatmap')",heatmap,PASS
Chrome,beforeinitialize,"('width = ', u'800')",heatmap,PASS
Chrome,beforerender,"('eventType = ', u'beforerender')",heatmap,PASS
Chrome,beforerender,"('eventId = ', 103)",heatmap,PASS
Chrome,beforerender,"('cancelled = ', False)",heatmap,PASS
Chrome,beforerender,"('stopPropagation = ', {})",heatmap,PASS
Chrome,beforerender,"('defaultPrevented = ', False)",heatmap,PASS
Chrome,beforerender,"('preventDefault = ', {})",heatmap,PASS
Chrome,beforerender,"('detached = ', False)",heatmap,PASS
Chrome,beforerender,"('detachHandler = ', {})",heatmap,PASS
Chrome,beforerender,"('senderChartType = ', u'heatmap')",heatmap,PASS
Chrome,beforerender,"('Container = ', u'chart-container')",heatmap,PASS
Chrome,beforerender,"('height = ', u'600')",heatmap,PASS
Chrome,beforerender,"('rendered = ', u'javascript')",heatmap,PASS
Chrome,beforerender,"('width = ', u'800')",heatmap,PASS
Chrome,rendercomplete,"('eventType = ', u'rendercomplete')",heatmap,PASS
Chrome,rendercomplete,"('eventId = ', 359)",heatmap,PASS
Chrome,rendercomplete,"('cancelled = ', False)",heatmap,PASS
Chrome,rendercomplete,"('stopPropagation = ', {})",heatmap,PASS
Chrome,rendercomplete,"('defaultPrevented = ', False)",heatmap,PASS
Chrome,rendercomplete,"('preventDefault = ', {})",heatmap,PASS
Chrome,rendercomplete,"('detached = ', False)",heatmap,PASS
Chrome,rendercomplete,"('detachHandler = ', {})",heatmap,PASS
Chrome,rendercomplete,"('senderChartType = ', u'heatmap')",heatmap,PASS
Chrome,rendercomplete,"('Container = ', 1)",heatmap,PASS
Chrome,rendercomplete,"('height = ', 600)",heatmap,PASS
Chrome,rendercomplete,"('rendered = ', u'javascript')",heatmap,PASS
Chrome,rendercomplete,"('width = ', 800)",heatmap,PASS
Chrome,loaded,"('eventType = ', u'loaded')",heatmap,PASS
Chrome,loaded,"('eventId = ', 96)",heatmap,PASS
Chrome,loaded,"('cancelled = ', False)",heatmap,PASS
Chrome,loaded,"('stopPropagation = ', {})",heatmap,PASS
Chrome,loaded,"('defaultPrevented = ', False)",heatmap,PASS
Chrome,loaded,"('preventDefault = ', {})",heatmap,PASS
Chrome,loaded,"('detached = ', False)",heatmap,PASS
Chrome,loaded,"('detachHandler = ', {})",heatmap,PASS
Chrome,loaded,"('senderChartType = ', u'heatmap')",heatmap,PASS
Chrome,loaded,"('renderer = ', u'javascript')",heatmap,PASS
Chrome,loaded,"('type = ', u'heatmap')",heatmap,PASS
Chrome,initialized,"('eventType = ', u'initialized')",heatmap,PASS
Chrome,initialized,"('eventId = ', 100)",heatmap,PASS
Chrome,initialized,"('cancelled = ', False)",heatmap,PASS
Chrome,initialized,"('stopPropagation = ', {})",heatmap,PASS
Chrome,initialized,"('defaultPrevented = ', False)",heatmap,PASS
Chrome,initialized,"('preventDefault = ', {})",heatmap,PASS
Chrome,initialized,"('detached = ', False)",heatmap,PASS
Chrome,initialized,"('detachHandler = ', {})",heatmap,PASS
Chrome,initialized,"('senderChartType = ', u'heatmap')",heatmap,PASS
Chrome,initialized,"('dataFormat = ', u'json')",heatmap,PASS
Chrome,initialized,"('dataSource = ', {u'rows': {u'row': [{u'id': u'SGS5', u'label': u'Samsung Galaxy S5'}, {u'id': u'HTC1M8', u'label': u'HTC One (M8)'}, {u'id': u'IPHONES5', u'label': u'Apple iPhone 5S'}, {u'id': u'LUMIA', u'label': u'Nokia Lumia 1520'}]}, u'columns': {u'column': [{u'id': u'processor', u'label': u'Processor'}, {u'id': u'screen', u'label': u'Screen Size'}, {u'id': u'price', u'label': u'Price'}, {u'id': u'backup', u'label': u'Battery Backup'}, {u'id': u'cam', u'label': u'Camera'}]}, u'chart': {u'showPlotBorder': u'1', u'exportEnabled': u'1', u'xAxisName': u'Features', u'caption': u'Top Smartphone Ratings', u'theme': u'fint', u'yAxisName': u'Model', u'subcaption': u'By Features', u'exportFileName': u'DemoExport'}, u'colorRange': {u'color': [{u'code': u'#e24b1a', u'minValue': u'1', u'maxValue': u'5', u'label': u'Bad'}, {u'code': u'#f6bc33', u'minValue': u'5', u'maxValue': u'8.5', u'label': u'Average'}, {u'code': u'#6da81e', u'minValue': u'8.5', u'maxValue': u'10', u'label': u'Good'}], u'gradient': u'1', u'code': u'#e24b1a'}, u'dataset': [{u'data': [{u'value': u'8.7', u'trLabel': u'OS : Android 4.4 Kitkat', u'columnid': u'processor', u'rowid': u'SGS5', u'tlLabel': u'Quad Core 2.5 GHz'}, {u'value': u'8.5', u'trLabel': u'AMOLED screen', u'columnid': u'screen', u'rowid': u'SGS5', u'tlLabel': u'5.1 inch'}, {u'value': u'9.3', u'columnid': u'price', u'rowid': u'SGS5', u'tlLabel': u'$600'}, {u'value': u'9.7', u'trLabel': u'Battery : 2800 MAH', u'columnid': u'backup', u'rowid': u'SGS5', u'tlLabel': u'29 Hrs'}, {u'value': u'8', u'trLabel': u'Front Camera : 2.1 MP', u'columnid': u'cam', u'rowid': u'SGS5', u'tlLabel': u'16 MP'}, {u'value': u'9.2', u'trLabel': u'OS : Android 4.4 Kitkat', u'columnid': u'processor', u'rowid': u'HTC1M8', u'tlLabel': u'Quad Core 2.3 GHz'}, {u'value': u'8.3', u'trLabel': u'LCD screen', u'columnid': u'screen', u'rowid': u'HTC1M8', u'tlLabel': u'5 inch'}, {u'value': u'7.3', u'columnid': u'price', u'rowid': u'HTC1M8', u'tlLabel': u'$600'}, {u'value': u'8.8', u'trLabel': u'Battery : 2600 MAH', u'columnid': u'backup', u'rowid': u'HTC1M8', u'tlLabel': u'20 Hrs'}, {u'value': u'8.7', u'trLabel': u'Front Camera : 5 MP', u'columnid': u'cam', u'rowid': u'HTC1M8', u'tlLabel': u'4 MP'}, {u'value': u'9.1', u'trLabel': u'OS : iOS 7', u'columnid': u'processor', u'rowid': u'IPHONES5', u'tlLabel': u'Dual Core'}, {u'value': u'8.6', u'trLabel': u'Retina LCD screen', u'columnid': u'screen', u'rowid': u'IPHONES5', u'tlLabel': u'4 inch'}, {u'value': u'7.2', u'columnid': u'price', u'rowid': u'IPHONES5', u'tlLabel': u'$649'}, {u'value': u'8.4', u'trLabel': u'Battery : 1560 MAH', u'columnid': u'backup', u'rowid': u'IPHONES5', u'tlLabel': u'10 Hrs'}, {u'value': u'9.5', u'trLabel': u'Front Camera : 1.2 MP', u'columnid': u'cam', u'rowid': u'IPHONES5', u'tlLabel': u'8 MP'}, {u'value': u'8.8', u'trLabel': u'OS: Windows Phone 8', u'columnid': u'processor', u'rowid': u'LUMIA', u'tlLabel': u'Quad Core 2.2 GHz'}, {u'value': u'9.1', u'trLabel': u'LCD screen', u'columnid': u'screen', u'rowid': u'LUMIA', u'tlLabel': u'6 inch'}, {u'value': u'9.7', u'columnid': u'price', u'rowid': u'LUMIA', u'tlLabel': u'$470'}, {u'value': u'9.2', u'trLabel': u'Battery : 3400 MAH', u'columnid': u'backup', u'rowid': u'LUMIA', u'tlLabel': u'27 Hrs'}, {u'value': u'8.1', u'trLabel': u'Front Camera : 1.2 MP', u'columnid': u'cam', u'rowid': u'LUMIA', u'tlLabel': u'20MP'}]}]})",heatmap,PASS
Chrome,initialized,"('height = ', u'600')",heatmap,PASS
Chrome,initialized,"('renderAt = ', u'chart-container')",heatmap,PASS
Chrome,initialized,"('type = ', u'heatmap')",heatmap,PASS
Chrome,initialized,"('width = ', u'800')",heatmap,PASS
Chrome,rendered,"('eventType = ', u'rendered')",combination,PASS
Chrome,rendered,"('eventId = ', 382)",combination,PASS
Chrome,rendered,"('cancelled = ', False)",combination,PASS
Chrome,rendered,"('stopPropagation = ', {})",combination,PASS
Chrome,rendered,"('defaultPrevented = ', False)",combination,PASS
Chrome,rendered,"('preventDefault = ', {})",combination,PASS
Chrome,rendered,"('detached = ', False)",combination,PASS
Chrome,rendered,"('detachHandler = ', {})",combination,PASS
Chrome,rendered,"('senderChartType = ', u'combination')",combination,PASS
Chrome,rendered,"('dObj1 = ', u'javascript')",combination,PASS
Chrome,ready,"('eventType = ', u'ready')",combination,PASS
Chrome,ready,"('eventId = ', 93)",combination,PASS
Chrome,ready,"('cancelled = ', False)",combination,PASS
Chrome,ready,"('stopPropagation = ', {})",combination,PASS
Chrome,ready,"('defaultPrevented = ', False)",combination,PASS
Chrome,ready,"('preventDefault = ', {})",combination,PASS
Chrome,ready,"('detached = ', False)",combination,PASS
Chrome,ready,"('detachHandler = ', {})",combination,PASS
Chrome,ready,"('senderChartType = ', u'FroalaCharts')",combination,PASS
Chrome,ready,"('dObj1 = ', True)",combination,PASS
Chrome,beforeinitialize,"('eventType = ', u'beforeinitialize')",combination,PASS
Chrome,beforeinitialize,"('eventId = ', 94)",combination,PASS
Chrome,beforeinitialize,"('cancelled = ', False)",combination,PASS
Chrome,beforeinitialize,"('stopPropagation = ', {})",combination,PASS
Chrome,beforeinitialize,"('defaultPrevented = ', False)",combination,PASS
Chrome,beforeinitialize,"('preventDefault = ', {})",combination,PASS
Chrome,beforeinitialize,"('detached = ', False)",combination,PASS
Chrome,beforeinitialize,"('detachHandler = ', {})",combination,PASS
Chrome,beforeinitialize,"('senderChartType = ', u'combination')",combination,PASS
Chrome,beforeinitialize,"('dataFormat = ', u'json')",combination,PASS
Chrome,beforeinitialize,"('dataSource = ', u'{""chart"":{""caption"":""Revenues and Profits"",""subCaption"":""For last year"",""xAxisname"":""Month"",""pYAxisName"":""Amount (In USD)"",""sYAxisName"":""Profit %"",""numberPrefix"":""$"",""sNumberSuffix"":""%"",""sYAxisMaxValue"":""50"",""theme"":""fusion"",""color"":""#FF0000"",""alpha"":83,""anchorBgColor"":""#00FF00"",""anchorBgAlpha"":""37"",""anchorAlpha"":""78"",""anchorBorderColor"":""#0000FF"",""anchorBorderThickness"":""3"",""anchorRadius"":""12"",""anchorSides"":""4"",""anchorStartAngle"":""45"",""plotFillHoverColor"":""#FF0000"",""anchorHoverAlpha"":""98"",""anchorHoverSides"":""6"",""dashed"":1,""valuePosition"":""BELOW"",""lineDashed"":1,""_link"":""https://www.google.com/""},""categories"":[{""category"":[{""label"":""Jan""},{""label"":""Feb""},{""label"":""Mar""},{""label"":""Apr""},{""label"":""May""},{""label"":""Jun""},{""label"":""Jul""},{""label"":""Aug""},{""label"":""Sep""},{""label"":""Oct""},{""label"":""Nov""},{""label"":""Dec""}]}],""dataset"":[{""seriesName"":""Revenues"",""data"":[{""value"":""16000""},{""value"":""20000""},{""value"":""18000""},{""value"":""19000""},{""value"":""15000""},{""value"":""21000""},{""value"":""16000""},{""value"":""20000""},{""value"":""17000""},{""value"":""22000""},{""value"":""19000""},{""value"":""23000""}]},{""seriesName"":""Profits"",""renderAs"":""area"",""showValues"":""0"",""data"":[{""value"":""4000""},{""value"":""5000""},{""value"":""3000""},{""value"":""4000""},{""value"":""1000""},{""value"":""7000""},{""value"":""1000""},{""value"":""4000""},{""value"":""1000""},{""value"":""8000""},{""value"":""2000""},{""value"":""7000""}]},{""seriesName"":""Profit %"",""parentYAxis"":""S"",""renderAs"":""line"",""showValues"":""0"",""data"":[{""value"":""25"",""color"":""#00FFFF"",""alpha"":42,""anchorBgColor"":""#FF0000"",""anchorBgAlpha"":""52"",""anchorAlpha"":""84"",""anchorBorderColor"":""#00FF00"",""anchorBorderThickness"":""4"",""anchorRadius"":""11"",""anchorSides"":""5"",""anchorStartAngle"":""65"",""anchorHoverColor"":""#0000FF"",""anchorHoverAlpha"":""93"",""anchorHoverSides"":""8"",""dashed"":1,""valuePosition"":""ABOVE"",""lineDashed"":1,""_link"":""http://yahoo.com/""},{""value"":""25""},{""value"":""16.66""},{""value"":""21.05""},{""value"":""6.66""},{""value"":""33.33""},{""value"":""6.25""},{""value"":""25""},{""value"":""5.88""},{""value"":""36.36""},{""value"":""10.52""},{""value"":""30.43""}]}]}')",combination,PASS
Chrome,beforeinitialize,"('height = ', u'600')",combination,PASS
Chrome,beforeinitialize,"('renderAt = ', u'chart-container')",combination,PASS
Chrome,beforeinitialize,"('type = ', u'combination')",combination,PASS
Chrome,beforeinitialize,"('width = ', u'800')",combination,PASS
Chrome,beforerender,"('eventType = ', u'beforerender')",combination,PASS
Chrome,beforerender,"('eventId = ', 103)",combination,PASS
Chrome,beforerender,"('cancelled = ', False)",combination,PASS
Chrome,beforerender,"('stopPropagation = ', {})",combination,PASS
Chrome,beforerender,"('defaultPrevented = ', False)",combination,PASS
Chrome,beforerender,"('preventDefault = ', {})",combination,PASS
Chrome,beforerender,"('detached = ', False)",combination,PASS
Chrome,beforerender,"('detachHandler = ', {})",combination,PASS
Chrome,beforerender,"('senderChartType = ', u'combination')",combination,PASS
Chrome,beforerender,"('Container = ', u'chart-container')",combination,PASS
Chrome,beforerender,"('height = ', u'600')",combination,PASS
Chrome,beforerender,"('rendered = ', u'javascript')",combination,PASS
Chrome,beforerender,"('width = ', u'800')",combination,PASS
Chrome,rendercomplete,"('eventType = ', u'rendercomplete')",combination,PASS
Chrome,rendercomplete,"('eventId = ', 383)",combination,PASS
Chrome,rendercomplete,"('cancelled = ', False)",combination,PASS
Chrome,rendercomplete,"('stopPropagation = ', {})",combination,PASS
Chrome,rendercomplete,"('defaultPrevented = ', False)",combination,PASS
Chrome,rendercomplete,"('preventDefault = ', {})",combination,PASS
Chrome,rendercomplete,"('detached = ', False)",combination,PASS
Chrome,rendercomplete,"('detachHandler = ', {})",combination,PASS
Chrome,rendercomplete,"('senderChartType = ', u'combination')",combination,PASS
Chrome,rendercomplete,"('Container = ', 1)",combination,PASS
Chrome,rendercomplete,"('height = ', 600)",combination,PASS
Chrome,rendercomplete,"('rendered = ', u'javascript')",combination,PASS
Chrome,rendercomplete,"('width = ', 800)",combination,PASS
Chrome,loaded,"('eventType = ', u'loaded')",combination,PASS
Chrome,loaded,"('eventId = ', 96)",combination,PASS
Chrome,loaded,"('cancelled = ', False)",combination,PASS
Chrome,loaded,"('stopPropagation = ', {})",combination,PASS
Chrome,loaded,"('defaultPrevented = ', False)",combination,PASS
Chrome,loaded,"('preventDefault = ', {})",combination,PASS
Chrome,loaded,"('detached = ', False)",combination,PASS
Chrome,loaded,"('detachHandler = ', {})",combination,PASS
Chrome,loaded,"('senderChartType = ', u'combination')",combination,PASS
Chrome,loaded,"('renderer = ', u'javascript')",combination,PASS
Chrome,loaded,"('type = ', u'combination')",combination,PASS
Chrome,initialized,"('eventType = ', u'initialized')",combination,PASS
Chrome,initialized,"('eventId = ', 100)",combination,PASS
Chrome,initialized,"('cancelled = ', False)",combination,PASS
Chrome,initialized,"('stopPropagation = ', {})",combination,PASS
Chrome,initialized,"('defaultPrevented = ', False)",combination,PASS
Chrome,initialized,"('preventDefault = ', {})",combination,PASS
Chrome,initialized,"('detached = ', False)",combination,PASS
Chrome,initialized,"('detachHandler = ', {})",combination,PASS
Chrome,initialized,"('senderChartType = ', u'combination')",combination,PASS
Chrome,initialized,"('dataFormat = ', u'json')",combination,PASS
Chrome,initialized,"('dataSource = ', {u'chart': {u'anchorSides': u'4', u'sYAxisName': u'Profit %', u'anchorAlpha': u'78', u'color': u'#FF0000', u'pYAxisName': u'Amount (In USD)', u'anchorBorderThickness': u'3', u'alpha': 83, u'anchorBorderColor': u'#0000FF', u'anchorHoverAlpha': u'98', u'dashed': 1, u'_link': u'https://www.google.com/', u'xAxisname': u'Month', u'sYAxisMaxValue': u'50', u'anchorHoverSides': u'6', u'theme': u'fusion', u'plotFillHoverColor': u'#FF0000', u'subCaption': u'For last year', u'sNumberSuffix': u'%', u'anchorBgColor': u'#00FF00', u'anchorRadius': u'12', u'lineDashed': 1, u'numberPrefix': u'$', u'caption': u'Revenues and Profits', u'anchorStartAngle': u'45', u'anchorBgAlpha': u'37', u'valuePosition': u'BELOW'}, u'categories': [{u'category': [{u'label': u'Jan'}, {u'label': u'Feb'}, {u'label': u'Mar'}, {u'label': u'Apr'}, {u'label': u'May'}, {u'label': u'Jun'}, {u'label': u'Jul'}, {u'label': u'Aug'}, {u'label': u'Sep'}, {u'label': u'Oct'}, {u'label': u'Nov'}, {u'label': u'Dec'}]}], u'dataset': [{u'seriesName': u'Revenues', u'data': [{u'value': u'16000'}, {u'value': u'20000'}, {u'value': u'18000'}, {u'value': u'19000'}, {u'value': u'15000'}, {u'value': u'21000'}, {u'value': u'16000'}, {u'value': u'20000'}, {u'value': u'17000'}, {u'value': u'22000'}, {u'value': u'19000'}, {u'value': u'23000'}]}, {u'renderAs': u'area', u'seriesName': u'Profits', u'data': [{u'value': u'4000'}, {u'value': u'5000'}, {u'value': u'3000'}, {u'value': u'4000'}, {u'value': u'1000'}, {u'value': u'7000'}, {u'value': u'1000'}, {u'value': u'4000'}, {u'value': u'1000'}, {u'value': u'8000'}, {u'value': u'2000'}, {u'value': u'7000'}], u'showValues': u'0'}, {u'renderAs': u'line', u'parentYAxis': u'S', u'showValues': u'0', u'data': [{u'anchorSides': u'5', u'lineDashed': 1, u'anchorHoverColor': u'#0000FF', u'anchorHoverAlpha': u'93', u'anchorAlpha': u'84', u'color': u'#00FFFF', u'dashed': 1, u'_link': u'http://yahoo.com/', u'anchorHoverSides': u'8', u'anchorBgColor': u'#FF0000', u'valuePosition': u'ABOVE', u'anchorBorderThickness': u'4', u'value': u'25', u'anchorStartAngle': u'65', u'anchorRadius': u'11', u'alpha': 42, u'anchorBgAlpha': u'52', u'anchorBorderColor': u'#00FF00'}, {u'value': u'25'}, {u'value': u'16.66'}, {u'value': u'21.05'}, {u'value': u'6.66'}, {u'value': u'33.33'}, {u'value': u'6.25'}, {u'value': u'25'}, {u'value': u'5.88'}, {u'value': u'36.36'}, {u'value': u'10.52'}, {u'value': u'30.43'}], u'seriesName': u'Profit %'}]})",combination,PASS
Chrome,initialized,"('height = ', u'600')",combination,PASS
Chrome,initialized,"('renderAt = ', u'chart-container')",combination,PASS
Chrome,initialized,"('type = ', u'combination')",combination,PASS
Chrome,initialized,"('width = ', u'800')",combination,PASS
Chrome,rendered,"('eventType = ', u'rendered')",bar,PASS
Chrome,rendered,"('eventId = ', 327)",bar,PASS
Chrome,rendered,"('cancelled = ', False)",bar,PASS
Chrome,rendered,"('stopPropagation = ', {})",bar,PASS
Chrome,rendered,"('defaultPrevented = ', False)",bar,PASS
Chrome,rendered,"('preventDefault = ', {})",bar,PASS
Chrome,rendered,"('detached = ', False)",bar,PASS
Chrome,rendered,"('detachHandler = ', {})",bar,PASS
Chrome,rendered,"('senderChartType = ', u'bar')",bar,PASS
Chrome,rendered,"('dObj1 = ', u'javascript')",bar,PASS
Chrome,ready,"('eventType = ', u'ready')",bar,PASS
Chrome,ready,"('eventId = ', 93)",bar,PASS
Chrome,ready,"('cancelled = ', False)",bar,PASS
Chrome,ready,"('stopPropagation = ', {})",bar,PASS
Chrome,ready,"('defaultPrevented = ', False)",bar,PASS
Chrome,ready,"('preventDefault = ', {})",bar,PASS
Chrome,ready,"('detached = ', False)",bar,PASS
Chrome,ready,"('detachHandler = ', {})",bar,PASS
Chrome,ready,"('senderChartType = ', u'FroalaCharts')",bar,PASS
Chrome,ready,"('dObj1 = ', True)",bar,PASS
Chrome,beforeinitialize,"('eventType = ', u'beforeinitialize')",bar,PASS
Chrome,beforeinitialize,"('eventId = ', 94)",bar,PASS
Chrome,beforeinitialize,"('cancelled = ', False)",bar,PASS
Chrome,beforeinitialize,"('stopPropagation = ', {})",bar,PASS
Chrome,beforeinitialize,"('defaultPrevented = ', False)",bar,PASS
Chrome,beforeinitialize,"('preventDefault = ', {})",bar,PASS
Chrome,beforeinitialize,"('detached = ', False)",bar,PASS
Chrome,beforeinitialize,"('detachHandler = ', {})",bar,PASS
Chrome,beforeinitialize,"('senderChartType = ', u'bar')",bar,PASS
Chrome,beforeinitialize,"('dataFormat = ', u'JSON')",bar,PASS
Chrome,beforeinitialize,"('dataSource = ', u'{""chart"":{""caption"":""Split of visitors by Channels"",""placevaluesinside"":""1"",""showvalues"":""0"",""plottooltext"":""<b>$dataValue</b> visitors from $label in $seriesName"",""theme"":""fusion""},""categories"":[{""category"":[{""label"":""Organic""},{""label"":""Offline Stores""},{""label"":""Email Campaigns""},{""label"":""Social Events""},{""label"":""Paid Channels""}]}],""dataset"":[{""seriesname"":""2017"",""data"":[{""value"":""17000""},{""value"":""19500""},{""value"":""12500""},{""value"":""14500""},{""value"":""17500""}]},{""seriesname"":""2018"",""data"":[{""value"":""25400""},{""value"":""29800""},{""value"":""21800""},{""value"":""19500""},{""value"":""21200""}]}],""trendlines"":[{""line"":[{""startvalue"":""16200"",""color"":""#5D62B5"",""thickness"":""1.5"",""displayvalue"":""2017\'s Avg.""},{""startvalue"":""23500"",""color"":""#29C3BE"",""thickness"":""1.5"",""displayvalue"":""2018\'s Avg.""}]}]}')",bar,PASS
Chrome,beforeinitialize,"('height = ', u'500')",bar,PASS
Chrome,beforeinitialize,"('renderAt = ', u'chart-container')",bar,PASS
Chrome,beforeinitialize,"('type = ', u'bar')",bar,PASS
Chrome,beforeinitialize,"('width = ', u'800')",bar,PASS
Chrome,beforerender,"('eventType = ', u'beforerender')",bar,PASS
Chrome,beforerender,"('eventId = ', 103)",bar,PASS
Chrome,beforerender,"('cancelled = ', False)",bar,PASS
Chrome,beforerender,"('stopPropagation = ', {})",bar,PASS
Chrome,beforerender,"('defaultPrevented = ', False)",bar,PASS
Chrome,beforerender,"('preventDefault = ', {})",bar,PASS
Chrome,beforerender,"('detached = ', False)",bar,PASS
Chrome,beforerender,"('detachHandler = ', {})",bar,PASS
Chrome,beforerender,"('senderChartType = ', u'bar')",bar,PASS
Chrome,beforerender,"('Container = ', u'chart-container')",bar,PASS
Chrome,beforerender,"('height = ', u'500')",bar,PASS
Chrome,beforerender,"('rendered = ', u'javascript')",bar,PASS
Chrome,beforerender,"('width = ', u'800')",bar,PASS
Chrome,rendercomplete,"('eventType = ', u'rendercomplete')",bar,PASS
Chrome,rendercomplete,"('eventId = ', 328)",bar,PASS
Chrome,rendercomplete,"('cancelled = ', False)",bar,PASS
Chrome,rendercomplete,"('stopPropagation = ', {})",bar,PASS
Chrome,rendercomplete,"('defaultPrevented = ', False)",bar,PASS
Chrome,rendercomplete,"('preventDefault = ', {})",bar,PASS
Chrome,rendercomplete,"('detached = ', False)",bar,PASS
Chrome,rendercomplete,"('detachHandler = ', {})",bar,PASS
Chrome,rendercomplete,"('senderChartType = ', u'bar')",bar,PASS
Chrome,rendercomplete,"('Container = ', 1)",bar,PASS
Chrome,rendercomplete,"('height = ', 500)",bar,PASS
Chrome,rendercomplete,"('rendered = ', u'javascript')",bar,PASS
Chrome,rendercomplete,"('width = ', 800)",bar,PASS
Chrome,loaded,"('eventType = ', u'loaded')",bar,PASS
Chrome,loaded,"('eventId = ', 96)",bar,PASS
Chrome,loaded,"('cancelled = ', False)",bar,PASS
Chrome,loaded,"('stopPropagation = ', {})",bar,PASS
Chrome,loaded,"('defaultPrevented = ', False)",bar,PASS
Chrome,loaded,"('preventDefault = ', {})",bar,PASS
Chrome,loaded,"('detached = ', False)",bar,PASS
Chrome,loaded,"('detachHandler = ', {})",bar,PASS
Chrome,loaded,"('senderChartType = ', u'bar')",bar,PASS
Chrome,loaded,"('renderer = ', u'javascript')",bar,PASS
Chrome,loaded,"('type = ', u'bar')",bar,PASS
Chrome,initialized,"('eventType = ', u'initialized')",bar,PASS
Chrome,initialized,"('eventId = ', 100)",bar,PASS
Chrome,initialized,"('cancelled = ', False)",bar,PASS
Chrome,initialized,"('stopPropagation = ', {})",bar,PASS
Chrome,initialized,"('defaultPrevented = ', False)",bar,PASS
Chrome,initialized,"('preventDefault = ', {})",bar,PASS
Chrome,initialized,"('detached = ', False)",bar,PASS
Chrome,initialized,"('detachHandler = ', {})",bar,PASS
Chrome,initialized,"('senderChartType = ', u'bar')",bar,PASS
Chrome,initialized,"('dataFormat = ', u'JSON')",bar,PASS
Chrome,initialized,"('dataSource = ', {u'trendlines': [{u'line': [{u'color': u'#5D62B5', u'displayvalue': u""2017's Avg."", u'startvalue': u'16200', u'thickness': u'1.5'}, {u'color': u'#29C3BE', u'displayvalue': u""2018's Avg."", u'startvalue': u'23500', u'thickness': u'1.5'}]}], u'chart': {u'caption': u'Split of visitors by Channels', u'placevaluesinside': u'1', u'theme': u'fusion', u'plottooltext': u'<b>$dataValue</b> visitors from $label in $seriesName', u'showvalues': u'0'}, u'categories': [{u'category': [{u'label': u'Organic'}, {u'label': u'Offline Stores'}, {u'label': u'Email Campaigns'}, {u'label': u'Social Events'}, {u'label': u'Paid Channels'}]}], u'dataset': [{u'seriesname': u'2017', u'data': [{u'value': u'17000'}, {u'value': u'19500'}, {u'value': u'12500'}, {u'value': u'14500'}, {u'value': u'17500'}]}, {u'seriesname': u'2018', u'data': [{u'value': u'25400'}, {u'value': u'29800'}, {u'value': u'21800'}, {u'value': u'19500'}, {u'value': u'21200'}]}]})",bar,PASS
Chrome,initialized,"('height = ', u'500')",bar,PASS
Chrome,initialized,"('renderAt = ', u'chart-container')",bar,PASS
Chrome,initialized,"('type = ', u'bar')",bar,PASS
Chrome,initialized,"('width = ', u'800')",bar,PASS
Chrome,rendered,"('eventType = ', u'rendered')",column,PASS
Chrome,rendered,"('eventId = ', 325)",column,PASS
Chrome,rendered,"('cancelled = ', False)",column,PASS
Chrome,rendered,"('stopPropagation = ', {})",column,PASS
Chrome,rendered,"('defaultPrevented = ', False)",column,PASS
Chrome,rendered,"('preventDefault = ', {})",column,PASS
Chrome,rendered,"('detached = ', False)",column,PASS
Chrome,rendered,"('detachHandler = ', {})",column,PASS
Chrome,rendered,"('senderChartType = ', u'column')",column,PASS
Chrome,rendered,"('dObj1 = ', u'javascript')",column,PASS
Chrome,ready,"('eventType = ', u'ready')",column,PASS
Chrome,ready,"('eventId = ', 93)",column,PASS
Chrome,ready,"('cancelled = ', False)",column,PASS
Chrome,ready,"('stopPropagation = ', {})",column,PASS
Chrome,ready,"('defaultPrevented = ', False)",column,PASS
Chrome,ready,"('preventDefault = ', {})",column,PASS
Chrome,ready,"('detached = ', False)",column,PASS
Chrome,ready,"('detachHandler = ', {})",column,PASS
Chrome,ready,"('senderChartType = ', u'FroalaCharts')",column,PASS
Chrome,ready,"('dObj1 = ', True)",column,PASS
Chrome,beforeinitialize,"('eventType = ', u'beforeinitialize')",column,PASS
Chrome,beforeinitialize,"('eventId = ', 94)",column,PASS
Chrome,beforeinitialize,"('cancelled = ', False)",column,PASS
Chrome,beforeinitialize,"('stopPropagation = ', {})",column,PASS
Chrome,beforeinitialize,"('defaultPrevented = ', False)",column,PASS
Chrome,beforeinitialize,"('preventDefault = ', {})",column,PASS
Chrome,beforeinitialize,"('detached = ', False)",column,PASS
Chrome,beforeinitialize,"('detachHandler = ', {})",column,PASS
Chrome,beforeinitialize,"('senderChartType = ', u'column')",column,PASS
Chrome,beforeinitialize,"('dataFormat = ', u'json')",column,PASS
Chrome,beforeinitialize,"('dataSource = ', u'{""chart"":{""theme"":""fint"",""caption"":""Comparison of Quarterly Revenue"",""subCaption"":""Last two years"",""xAxisname"":""Quarter"",""yAxisName"":""Amount ($)"",""numberPrefix"":""$""},""categories"":[{""category"":[{""label"":""Q1""},{""label"":""Q2""},{""label"":""Q3""},{""label"":""Q4""}]}],""dataset"":[{""seriesname"":""Previous Year"",""data"":[{""value"":""10000""},{""value"":""11500""},{""value"":""12500""},{""value"":""15000""}]},{""seriesname"":""Current Year"",""data"":[{""value"":""25400""},{""value"":""29800""},{""value"":""21800""},{""value"":""26800""}]}]}')",column,PASS
Chrome,beforeinitialize,"('height = ', u'600')",column,PASS
